q0001,文学,イエス・キリストが誕生したときに空に輝いたとされることから、クリスマスツリーの一番上に飾られている星のことを「何の星」というでしょう?, ベツレヘムの星,
q0002,生活,ベトナム航空のキャビンアテンダントの制服に採用されている、チョーサンとクワンから成るベトナムの民族衣装は何でしょう?, アオザイ,
q0003,ns,船体に溜まった静電気が、マストの先端から空に向かって放電される発光現象を、船乗りの守護聖人の名から何というでしょう?, セントエルモの火,
q0004,地理,世界初の鉄橋コールブルックデール橋がかかる、ボアと呼ばれる逆流現象も有名な、イギリスで最も長い川は何でしょう?, セヴァーン川,
q0005,ns,現時点で日本人が一度も受賞していない、ノーベル賞の部門は「何賞」でしょう?, 経済学賞,
q0006,文学,「完璧な文章などといったものは存在しない。完璧な絶望が存在しないようにね。」という書き出しの、村上春樹のデビュー作は何でしょう?, 風の歌を聴け,
q0007,k音ば,江戸っ子の威勢のいい言葉の調子のことを、相手を罵る時に言った言葉を用いて「何口調」というでしょう?, べらんめえ口調,
q0008,ns,筆致の速さから「電筆将軍」と称された、日本語における速記術を創始した人物は誰でしょう?, 田鎖鋼紀（たくさり・こうき）,
q0009,スポーツ,優先権の概念がないため両方が同時に得点することもある、全身を有効面とするフェンシングの種目は何でしょう?, エペ,
q0010,地理,新聞社や通信社が軒を並べるため、イギリス新聞界の別名にもなっている、ロンドンの街路の名前は何でしょう?, フリートストリート,
q0011,スポーツ,『スポーツイベントハンドボール』の編集長・野村彰洋によって命名された、国際的スポーツイベントなどにおいて極端にアラブ地域に有利になるような判定が下されることを、俗に「どこの何」というでしょう?, 中東の笛,
q0012,地理,兵庫県の淡路島にある三つの市とは、淡路市、南あわじ市とあとひとつは何市でしょう?, 洲本市,
q0013,生活,「VOCALOID」「エレクトーン」「ピアニカ」を商標登録している、大手楽器メーカーは何でしょう?, ヤマハ,
q0014,ns,明朝体の字に見られる、横画の右端についた三角形の山を何というでしょう?, うろこ,
q0015,スポーツ,ゴルフボールの表面にあるくぼみのことを英語で何というでしょう?, ディンプル,
q0016,理系,医学的には「雀卵斑(じゃくらんはん)」と呼ばれる、思春期の女性の顔によくみられる褐色の小さなシミを何というでしょう?, そばかす,
q0017,地理,国旗には伝統的な帽子「バソト・ハット」が描かれている、南アフリカ共和国に完全に囲まれた地理的特徴を持つ国はどこでしょう?,レソト共和国,
q0018,文学,日本神話において、地下にある黄泉の国に対して、神々が住むとされる天上の世界をなんというでしょう?,高天原(たかまがはら/たかまのはら),
q0019,芸術,ユージン・オーマンディーが42年間も指揮者を務めた、ペンシルベニア州に拠点を置く名門オーケストラは何でしょう?,フィラデルフィア・フィルハーモニー,
q0020,地理,源頼朝が99本の矢を立てて長さを測ったという伝説がある、千葉県東部のギョウブ(刑部)岬から太東崎まで広がる海岸は何でしょう?,九十九里浜,
q0021,公民,株価の急激な変動を防ぐため、一時的に株式の取引を停止する金融市場の安全装置を、電気回路に例えて何というでしょう?,サーキットブレーカー,
q0022,文学,『平家物語』などに登場する、頭は猿、胴体は狸、尾は蛇、手足は虎という異形の姿を持つ妖怪は何でしょう?,鵺(ぬえ),
q0023,芸能,日本では田中星児(たなか・せいじ)やトランザムのカバー版もよく知られる、ダニエル・ブーンの代表曲は何でしょう?,『Beautiful Sunday』,
q0024,生活,重症筋無力症の患者のために開発された、中心を指で挟み、羽根部分をはじいて回転させて遊ぶ玩具は何でしょう?,ハンドスピナー 【フィジェットスピナー】,
q0025,日本史,24年9か月の在位期間を誇りながら、元弘(げんこう)の乱で幕府滅亡後に出家し、3か月後に32歳で没した、鎌倉幕府第9代将軍は誰でしょう?,守邦親王(もりくにしんのう),
q0026,スポーツ,スペインではサッカーを抜いて競技人口が最も多いスポーツとなっている、テニスとスカッシュの要素を併せ持つ球技は何でしょう?,パデル ,
q0027,漫画・アニメ・ゲーム,『攻殻機動隊』シリーズのバトー役や、『メタルギア』シリーズのソリッド・スネーク役で知られるベテラン声優は誰でしょう?,大塚明夫 (おおつか・あきお),
q0028,生活,海苔巻きや太巻き寿司を作るときに使用する、細長く切りそろえた竹を木綿糸で編んだ調理道具は何でしょう?,巻き簾 (まきす、まきすだれ),
q0029,文学,持ち前の反骨精神から「マムシの周六」と恐れられた、明治時代に『よろず(萬)朝報』を創刊し、政治家や著名人のスキャンダルを暴露したジャーナリストは誰でしょう?,黒岩涙香(くろいわ・るいこう),
q0030,芸能,妻のアニエス・ヴァルダとともに左岸派を代表する、『シェルブールの雨傘』などのミュージカル映画で知られるフランスの映画監督は誰でしょう?,ジャック・ドゥミ,
q0031,生活,群馬県では辛口バージョンが「ベスビオ」と呼ばれることもある、魚介の旨味とトマトソースが調和したイタリアンパスタは何でしょう?,ペスカトーレ,
q0032,文学,「遊び」を「アゴン」、「アレア」、「ミミクリ」、「イリンクス」の4種類に分類した、20世紀フランスの社会学者は誰でしょう?,ロジェ・カイヨワ,
q0033,漫画・アニメ・ゲーム,車椅子に座ったミイラの女性や、動く鎧などが印象的な、サウンドノベルの金字塔として知られるチュンソフトのホラーゲームは何でしょう?,弟切草,
q0034,日本史,神武天皇の建国の理念とされ、戦前の日本で国家スローガンとしても使われた、全世界をひとつの家にすることを表す四字熟語は何でしょう?,八紘一宇(はっこういちう),
q0035,文学,被差別部落出身の青年・瀬川丑松(せがわうしまつ)を主人公に部落差別の問題を描いた、自然主義文学の先駆けとされる島崎藤村の小説は何でしょう?,『破戒』(はかい),
q0036,芸術,飲食チェーンの「リンガーハット」では餃子の焼き上がりを知らせる音楽として使われている、スティーブン・フォスターの曲は何でしょう?,『草競馬』,
q0037,生活,自分より上の立場の人の顔色しかうかがわず、部下のことはまるで眼中にない社員のことを、ある魚の見た目にたとえて「なに社員」というでしょう?,ヒラメ社員,
q0038,生活,世界で初めてシームレス技術を駆使したストッキングを開発した、オーストリアのストッキングメーカーは何でしょう?,ウォルフォード ,
q0039,地理,モンゴル帝国で整備された、約40kmごとに駅亭を置き、使節や軍人、官吏に馬や食料を提供した駅伝制度を何というでしょう?,ジャムチ,
q0040,漫画・アニメ・ゲーム,ゲーム『実況パワフルプロ野球』シリーズに登場する、びんぞこ(瓶底)メガネをかけ「なになにでやんす」が口癖の架空の野球選手は誰でしょう?,矢部明雄 (やべ・あきお),
q0041,地理,吉田初三郎(よしだ・はつさぶろう)が大正から昭和にかけて多く制作した、観光案内に用いられる上空から斜めに見下ろしたような景観図は何でしょう?,鳥瞰図 (ちょうかんず),
q0042,生活,右手を挙げている場合はお金を招き、左手を挙げている場合は人を招くとされる、商売繁盛の縁起物として知られる猫の形をした置物は何でしょう?,招き猫,
q0043,スポーツ,オートレーサー・岩田行雄の異名にもなっている、集団に属さず自分の信念で行動する人を、ある動物の様子から何というでしょう?,一匹狼,
q0044,理系,レジデント型、トランジェント型、オフショア型などの生態タイプがあり、魚類からクジラまで幅広い食性を持つ、「海の王者」と呼ばれる哺乳類は何でしょう?,シャチ ,
q0045,芸能,1964年公開の映画『三大怪獣・地球最大の決戦』で初登場以降、ゴジラのライバルとして定着している東宝の怪獣は何でしょう?,キングギドラ,
q0046,生活,使用前には防水スプレーが推奨される、おもに靴やコートなどに使用される、革の内側を磨いて起毛させた素材は何でしょう?,スウェード ,
q0047,生活,身分や地位に関係なく、全ての人が頭を下げて入ることで平等性を表現する、茶室の入り口として使われる特徴的な形式は何でしょう?,にじり口,
q0048,理系,線対称な形状を持ち、円に内接する性質をもつ、底辺の両端の内角が互いに等しい台形を特に「なに台形」というでしょう?,等脚台形(とうきゃくだいけい),
q0049,生活,「現場を支えるネットストアー」をコンセプトに、約2000万点の工業用間接資材をオンラインで販売する、大阪市に本社を置く企業は何でしょう?,株式会社 MonotaRO(モノタロウ),
q0050,スポーツ,シービスケットとウォーアドミラルの伝説的なマッチレースの会場ともなった、毎年5月にプリークネスステークスが開催されるアメリカの競馬場はどこでしょう?,ピムリコ競馬場,
q0051,公民,東京本館、関西館、国際子ども図書館の3施設で構成される、国内で発行されたすべての出版物を収集保存している図書館は何でしょう?,国立国会図書館,
q0052,日本史,1486年に主君の上杉定正によって謀殺され、最期に「当方滅亡」と叫んだとされる、江戸城を築城した室町時代の武将は誰でしょう?,太田道灌(おおた どうかん),
q0053,漫画・アニメ・ゲーム,「アニソン界のおしゃべりクソメガネ」を自称する、『ダイヤのエース』『月刊少女野崎くん』などの人気アニメ主題歌を手掛けた作曲家は誰でしょう?,オーイシマサヨシ,
q0054,生活,「人間」、「産業」、「社会」、「時間」の4つの視点から審査が行われ、シンボルマークの「Gマーク」で広く知られる、日本デザイン振興会主催の賞は何でしょう?,グッドデザイン賞,
q0055,芸能,フランス映画『勝手にしやがれ』のパトリシア役や、アメリカ映画『悲しみよこんにちは』のセシル役を演じた女優は誰でしょう?,ジーン・セバーグ,
q0056,芸術,ジョアン・ジルベルトの『想いあふれて』や『イパネマの娘』がその例に挙げられる、1960年代に世界的に人気を博したブラジル発祥の音楽ジャンルは何でしょう?,ボサノヴァ,
q0057,文学,本名を杉山泰道(すぎやま・やすみち)という、1935年に刊行した『ドグラ・マグラ』が日本三大奇書の一つとして知られる作家は誰でしょう?,夢野久作 (ゆめの・きゅうさく),
q0058,地理,マルクト広場やベッヒャー像などの観光スポットがある、音楽隊が活躍するグリム童話の舞台ともなったドイツ北部の港湾都市はどこでしょう?,ブレーメン ,
q0059,理系,干しシイタケに特に多く含まれる、グルタミン酸、イノシン酸と並んで三大うま味成分の一つとされる物質は何でしょう?,グアニル酸,
q0060,生活,「ウサギのようでシカのような架空の生命体」という設定の、埼玉県深谷市の特別住民でもある、ゆるキャラの名前は何でしょう?,ふっかちゃん,
q0061,地理,マオリ語では「アオラキ」と呼ばれる、標高3724メートルとニュージーランドの最高峰である山の名前は何でしょう?,クック山,
q0062,スポーツ,ゴールエリア内で空中にいる間にパスを受け、そのままシュートを決める、ハンドボールの見せ場となるプレーを何というでしょう?,スカイプレー 【ケンパトリック】,
q0063,漫画・アニメ・ゲーム,2008年頃まで群馬県渋川市寄居町(よりいちょう)に実在していた、漫画『イニシャル・ディー』(頭文字D)で主人公の父親が経営する豆腐店は何でしょう?,藤原とうふ店,
q0064,芸能,元EXILEの啓司(けいじ)や女優のハル(華)に共通する、宮崎県出身者に多い苗字は何でしょう?,黒木,
q0065,生活,醤油味の炊き込みご飯にタコ煮や菜の花、刻み穴子などが盛り付けられた、兵庫県神戸市の淡路屋が販売する名物駅弁は何でしょう?,ひっぱりだこ飯 (ひっぱりだこめし),
q0066,スポーツ,自宅に併設した「シラカーンジム」で練習に励んだ、日本人として初めて世界ボクシングのフライ級王座を獲得した選手は誰でしょう?,白井義男 (しらい・よしお),
q0067,生活,エンブレムに「ダブルシェブロン」と呼ばれる2つの逆V字型のマークを使用している、現在はステランティスの傘下となっているフランスの大手自動車ブランドは何でしょう?,シトロエン,
